Movie Name,Year,Duration,IMDb Rating,Metascore,Votes,Gross
The Shawshank Redemption,1994,142 min,9.3,82,2816612,28.34M
The Godfather,1972,175 min,9.2,100,1962925,134.97M
The Dark Knight,2008,152 min,9,84,2798140,534.86M
Schindler's List,1993,195 min,9,95,1415839,96.90M
The Lord of the Rings: The Return of the King,2003,201 min,9,94,1928763,377.85M
The Godfather Part II,1974,202 min,9,90,1332679,57.30M
12 Angry Men,1957,96 min,9,97,839189,4.36M
Pulp Fiction,1994,154 min,8.9,95,2159967,107.93M
Fight Club,1999,139 min,8.8,67,2251456,37.03M
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,8.8,92,1956009,315.54M
Inception,2010,148 min,8.8,74,2483520,292.58M
Forrest Gump,1994,142 min,8.8,82,2193427,330.25M
The Lord of the Rings: The Two Towers,2002,179 min,8.8,87,1739406,342.55M
"The Good, the Bad and the Ugly",1966,178 min,8.8,90,793666,6.10M
Jai Bhim,2021,164 min,8.8,N/A,211900,N/A
777 Charlie,2022,164 min,8.8,N/A,37351,N/A
Spider-Man: Across the Spider-Verse,2023,140 min,8.7,86,289565,N/A
Interstellar,2014,169 min,8.7,74,2008509,188.02M
Goodfellas,1990,145 min,8.7,92,1223411,46.84M
The Matrix,1999,136 min,8.7,73,2002444,171.48M
One Flew Over the Cuckoo's Nest,1975,133 min,8.7,84,1049042,112.00M
Star Wars: Episode V - The Empire Strikes Back,1980,124 min,8.7,82,1349556,290.48M
Soorarai Pottru,2020,153 min,8.7,N/A,121500,N/A
Rocketry: The Nambi Effect,2022,157 min,8.7,N/A,55950,N/A
The Silence of the Lambs,1991,118 min,8.6,86,1505755,130.74M
Se7en,1995,127 min,8.6,65,1746481,100.13M
Spirited Away,2001,125 min,8.6,96,817024,10.06M
Saving Private Ryan,1998,169 min,8.6,91,1459086,216.54M
The Green Mile,1999,189 min,8.6,61,1369942,136.80M
Star Wars: Episode IV - A New Hope,1977,121 min,8.6,90,1420788,322.74M
City of God,2002,130 min,8.6,79,785483,7.56M
Terminator 2: Judgment Day,1991,137 min,8.6,75,1148091,204.84M
Life Is Beautiful,1997,116 min,8.6,N/A,726717,57.60M
It's a Wonderful Life,1946,130 min,8.6,89,481638,N/A
Seven Samurai,1954,207 min,8.6,98,359826,0.27M
Harakiri,1962,133 min,8.6,85,64786,N/A
Sita Ramam,2022,163 min,8.6,N/A,63955,N/A
Oppenheimer,2023,180 min,8.5,88,475018,N/A
Whiplash,2014,106 min,8.5,89,942219,13.09M
Alien,1979,117 min,8.5,89,925957,78.90M
Gladiator,2000,155 min,8.5,67,1573544,187.71M
Psycho,1960,109 min,8.5,97,703766,32.00M
Back to the Future,1985,116 min,8.5,87,1272035,210.61M
The Departed,2006,151 min,8.5,85,1388736,132.38M
Parasite,2019,132 min,8.5,96,900065,53.37M
The Prestige,2006,130 min,8.5,66,1405268,53.09M
Léon: The Professional,1994,110 min,8.5,64,1216139,19.50M
Django Unchained,2012,165 min,8.5,81,1646542,162.81M
American History X,1998,119 min,8.5,62,1164254,6.72M
The Lion King,1994,88 min,8.5,88,1113010,422.78M
The Usual Suspects,1995,106 min,8.5,77,1124280,23.34M
The Pianist,2002,150 min,8.5,85,884878,32.57M
The Intouchables,2011,112 min,8.5,N/A,904345,13.18M
Casablanca,1942,102 min,8.5,100,594654,1.02M
Rear Window,1954,112 min,8.5,100,511730,36.76M
Once Upon a Time in the West,1968,166 min,8.5,82,343188,5.32M
Grave of the Fireflies,1988,89 min,8.5,94,298455,N/A
Cinema Paradiso,1988,155 min,8.5,80,275721,11.99M
Kaithi,2019,145 min,8.5,N/A,39598,N/A
Modern Times,1936,87 min,8.5,96,254013,0.16M
City Lights,1931,87 min,8.5,99,192323,0.02M
96,2018,158 min,8.5,N/A,34797,N/A
The Shining,1980,146 min,8.4,66,1079675,44.02M
Coco,2017,105 min,8.4,81,562534,209.73M
Joker,2019,122 min,8.4,N/A,1417366,335.45M
Spider-Man: Into the Spider-Verse,2018,117 min,8.4,87,638085,190.24M
Inglourious Basterds,2009,153 min,8.4,69,1536090,120.54M
Avengers: Endgame,2019,181 min,8.4,78,1224000,858.37M
Aliens,1986,137 min,8.4,84,747186,85.16M
Apocalypse Now,1979,147 min,8.4,94,695612,83.47M
The Dark Knight Rises,2012,164 min,8.4,78,1785658,448.14M
Oldboy,2003,120 min,8.4,78,615809,0.71M
Memento,2000,113 min,8.4,83,1294197,25.54M
Come and See,1985,142 min,8.4,N/A,91399,N/A
Avengers: Infinity War,2018,149 min,8.4,68,1164343,678.82M
Raiders of the Lost Ark,1981,115 min,8.4,86,1017662,248.16M
Your Name.,2016,106 min,8.4,81,302822,5.02M
